"text","screen_name","id","polite"
"@NSinclaireMEP Knew that Lib Dems getting into bed with Tories would end like this. They might never get another bite of the cherry.","martinwedge",473055780913307648,"impolite"
"@Steven_Woolfe hi Steven, would you be free to join @LBC on the phone for 5 minutes after 3.30 at all?","WillGav",469659871252869120,"polite"
"@TrevorWAllman @Nigel_Farage The clock is ticking ....","CathyWood55",467648624747630592,"polite"
"@llexanderaamb got the badges.","CStephenssnp",470175127339302912,"polite"
"@Peebi @AnujaPrashar @Angel4theNorth thanks","sanchia4europe",469371974024966144,"polite"
"Well said @Nigel_Farage , poor Paxo had to change the subject.  #Gettingstuffed","EnglandsAce",468507137467895808,"polite"
"@UttoxeterMona @nouttoxeterwind They are bird shredders. The owners get huge payouts even if there is no wind. Adds up to £260 per household","MikeGreenUKIP",463741191545028608,"polite"
"#Greens oppose discrimination on sexuality or gender identity &amp; launches LGBTIQ Euro Manifesto  http://t.co/Pe3dWdOGn8 #VoteGreen2014","Anothergreen",467319244657803264,"polite"
"Come on ppl if you haven't voted make your vote count!!! 45mins  #UKIP #voteUKIP @Nigel_Farage","kell901",469572406844325888,"polite"
"@Nigel_Farage You,Sir,don't understand how much you need Bulgarian/Romanian citizens,who come in the Uk to do your job,English selfishness.","BranimiraMachev",467568472550277120,"polite"
"@milroy666 @star_pumpkin I did. And it's a bit rich for a racist like you to call someone ""hate filled""! #UKIP","NorseFired",468054482501533696,"polite"
"@janeellisonmp @MarinaMEP @SyedKamall many many thanks Jane!","CharlesTannock",469376210846629888,"polite"
"@ChristineElmer Agree, but there will surely still be rogue MPs doing deals &amp; possible defections, partly depending on Sunday's results","GoodallGiles",470210899274657792,"polite"
"@ClarkeMicah @ukip_sththanet @Nigel_Farage  I wouldn't call that a great comparison in fact it's some more of a jibe","francisdolarhy2",462979250665316352,"polite"
"@GreenPartyNI  why so few candidates west of the Bann (spec Mid Ulster)? Some of us might like to vote for you! @StevenAgnew @voterossbrown","CuinnUiNeill",467806360965758976,"polite"
"@KellyMarieLD @GoodallGiles once again only just seen this - turning into CB! Sad I missed the cakes (but not Brutus - sorry)!","HenryMcMorrow",464828249131212800,"polite"
"@VeIvetRose @BellHappe No yesterday result cowdenbeath  labour 61.5% -4% snp 25.2% -4% #ukip 8.4% +8.4 Tory 4.4% +1 #Vote2014","DavidCoburnUKip",470283778196537344,"polite"
"@vickyford can't this time :( - stuck in the smoke even on this gorgeous weekend","ajcdeane",462944238016421888,"polite"
"@KayleighRaquia We are capitalists, and proponents of freedom of speech. I don't think you understand what fascism means Kayleigh.","jackbuckby",466610550139781120,"polite"
"@CrustyDinosaur @B_HQ @UKIPSwale @DonnaInSussex 2) higher tax credits instead which cost the Govt more.  Don't forget Gordon Brown","kvmarthur",470257525389295616,"polite"
"Our MEP @LocalRachel is performing as @YourSuffragist in Speakers' Corner of Hyde Park todaymorrow between 11 &amp; 12 noon. Come by &amp; meet her.","YOURvoiceParty",467809405120299008,"polite"
"""Everyone who is a potential victim of any crime would be well advised to take reasonable care."" --@RogerHelmerMEP","101flyboy",464113998770614272,"polite"
"@b2barton @MarinaMEP @SyedKamall many thanks for your kind words!","CharlesTannock",470874648335618048,"polite"
"best political interview i have heard in ages - @mrjamesob mawls @Nigel_Farage. Joyous listening http://t.co/SjIxJB9Qez","DuncanRights",467373578024153088,"polite"
"#EP2014 cands W Midlands: @anthea_mcintyre @WillDuckworthGP @NeenaForMEP @SionSimon @PhilBennionMEP @JPMWebber @JSeymourUKIP @JamesJimCarver","skepticalvoter",466533600179920896,"polite"
"@BumboSwerve @Connorfield56 @DavidJo52951945 #UKIP Scotland focus will go on to Indy Ref","DavidCoburnUKip",465454302069542912,"polite"
"@marcuschown @KarenGardham &lt;keeps thumbs down&gt;","scrapperduncan",468136591136161792,"polite"
"#UKIP Congratulations @DavidCoburnUKip","zander469",470891434598752256,"polite"
"Its time for The English to stand up for England...  http://t.co/0aaMO3jlMr http://t.co/1Mfx1pOo7W","DavidWickham3",462359841315377152,"polite"
"What has happened to the @BBC?  @EmmaDixon_Green @BBCPolitics @TheGreenParty","Green_Caroline",468732992018735104,"polite"
"@BenHartDS @Nigel_Farage Citation?","GucciAirbag_",469603615519539200,"polite"
"#Skynews.BREAKING-@Nigel_Farage attacked again.C.I.D at the scene.More as we get it.Cluck!☺ #bbcnews Newsnight #ukip http://t.co/dR0CrrERal","Comrade58",464751871228256256,"impolite"
"@IainMcGill Henrik?","DugaldMacMillan",469430630099734528,"polite"
"@Anothergreen #voteGreen2014 Local #PeoplePower :0) #MakeTheDifference #Hope","Shyman33",464157630626537472,"polite"
"@laurenmehall @jessicarrrrb about food and festivals. http://t.co/zYNnwHcywN","jackbuckby",463396457715085312,"polite"
"Back to campaign in Brecon today where I first stood for @Plaid_Cymru way back in 1997! #Wales1st","cymroynewrop",462508422051934208,"polite"
"@vickyford Good luck tomorrow, Vicky.  See you on the other side!","danielrhamilton",469224310583095296,"polite"
"Ahead of our election campaign launch today, @GreenJeanMEP writes for @britinfluence on our vision for Europe: http://t.co/H44WjrnPlN","Green_DannyB",464339831091634176,"polite"
"@MerryLiberal Good to hear :) We also remain the 3rd largest group in the European Parliament #EP2014","GoodallGiles",470969853705474048,"polite"
"Congrats @LiverpoolLabour on gaining 5 more labour seats! Well done!","PascaleLamb",469931730976382976,"polite"
"@JonathanArnott Brilliant","helena_pigott",469564039061045248,"polite"
"Splendid, Medieval Lucca.  I was born a few miles from there, in Vireaggio, by the sea. http://t.co/TmPg6IRZx6","EnzaFerreri",462725466341007360,"polite"
"@Liberty_GBH @bbcnickrobinson @daily_politics Just like Millwall thinking tactics are good until they come up against quality opposition","NSinclaireMEP",468498685043937280,"polite"
"@penmad just a bit :-)","NSinclaireMEP",471012055265607680,"polite"
"@EvidenceUK @marcuschown @JMZLon Every time you hear or read a Tory claiming increased #NHS Spending, show them this: http://t.co/ERu5lxLJJs","garrodt",471574680017833984,"polite"
"@gavtheukip there's plenty of 'em - moping about on BBC at the mo -","DavidCoburnUKip",469837051828121600,"polite"
"@nickgriffinmep @DJVillan I am reading a book at the moment titled 'The Diary Of A Nobody'. Reminded me of you.","dannyyoung35",470863917556985856,"polite"
"@LandlordXX because it is their home - we already had the clearances - we dont need a second wave in Scotland","DavidCoburnUKip",467963280682921984,"polite"
"@LeeSeville_UKIP @AWAHStevens Just how many ""blind eyes"" does he have on his 2 faces !","GreggatQuest",472033133840592896,"polite"
"@DavidCoburnUKip @ChukaUmunna You didn't ask him for the report on Iraq? :-)","Wise64",467616267260919808,"polite"
