"url","title","date","author","subject","abstract"
"http://cadmus.eui.eu/handle/1814/5359","25 years of labour government and incomes policy : a historical and comparative analysis of labour governments and incomes policy in Great Britain, Denmark and Australia in the period 1960-1984","1986","RASMUSSEN, Erling Juul","Wage-price policy -- Great Britain; Wage-price policy -- Denmark; Wage-price policy -- Australia; Great Britain -- Politics and government -- 20th century; Denmark -- Politics and government -- 20th century; Australia -- Politics and government -- 20th century",NA
"http://cadmus.eui.eu/handle/1814/12002","Access to non-vulnerable part-time employment in the Netherlands, Spain and the UK, with special reference to the school and local government sectors","2007","IBANEZ GARZARAN, Zyab Luis","Part-time employment -- European Union countries; Labor market -- European Union countries","A large part of the literature on part-time employment stresses that this form of employment contract is the result of employers&rsquo; strategies and female employees who need to reconcile work and family life. However, the growth in the number of employees sharing employment and other paid or unpaid interests expands the range and significance of working-time issues. This dissertation claims that where regulation and implementation of working-time transitions are favourable to part-time employment, part-time is likely to expand to more diverse categories of workers than those for whom it was originally intended ( i.e. mothers with caring responsibilities). The research follows a case-oriented comparative approach that draws on documentary information and a total of 48 in-depth interviews with actors&rsquo; representatives at three levels: national, sector (education and local government) and organizational, in the UK, the Netherlands and Spain. Initiated in different moments in time, the regulation of working-time transitions appears to follow a similar staged path in the three countries, although the wider institutional context affecting part-time and the active support of main actors varies for each country, especially at the organizational level. In the Dutch case, part-time regulation started off as a mechanism to enable the employment of women with caring responsibilities and, from there, it evolved towards a wider understanding of workingtime flexibility, extending the right to work part-time to other categories of employees. Given the pioneering role of the Netherlands in this area, it could be argued that both the UK and Spain have been following the Dutch example although with different degrees of success. In the Netherlands, after two decades of active support to part-time, there is still a big gender gap among part-timers, and in many sectors and occupations employees face difficulties to change their working hours; still, the general trend seems to be that access to part-time is becoming easier at more sector and occupational levels, in a context where organizations, already facing short full-time working weeks and high percentages of part-time, have been learning to decouple business hours from the different duration of the employees&rsquo; shifts. The need to design clear-cut coordination mechanisms that guarantee the steadiness of the service and the 'standardisation' of handing-over procedures, have helped to accept a variety of working-time arrangements. This capacity to dissociate organisations&rsquo; operative time from employees&rsquo; working hours is also present in British and Spanish 24-hour services, what has favoured exceptional good part-time jobs. However, the political efforts to promote part-time in Spain and the UK are confronted with serious obstacles, their segmented labour forces among them. The long-hours culture in both Spain and the UK, together with the high proportion of temporary contracts in the Spanish case, are the most visible signs of the structural difficulties these two countries face to achieve working-time flexi-curity. In the three countries, there are no clear links between long hours and productivity levels, and the processess that lead to more transparent assessments of work performance seem to facilitate working-time flexibility beyond standard full-time employment contracts. Certainly, different commitments and compromises need to be achieved between conflicting demands and interests about how employees use their own time, but this thesis argues that part-time may help to soften the conflicts between the specialization and hierarchy requirements of the social division of labour and individuals&rsquo; time-use autonomy."
"http://cadmus.eui.eu/handle/1814/14183","The Accommodation of Nationalism: Regional Nationalist Parties and Territorial Restructuring in Great Britain, Spain and Belgium","2010","TOUBEAU, Simon","Nationalists -- European Union countries; Political parties -- Great Britain; Political parties -- Spain; Political parties -- Belgium","The aim of this thesis is to investigate the relationship between the claims advanced by regional nationalist parties for the re-organisation of state structures based on the recognition of their distinct national groups and the process of territorial restructuring in Great Britain, Spain and Belgium. The objectives are to examine the conditions under which regional nationalist parties have influenced the reform of state structures and to assess the factors that condition the relation between their electoral and policy success. The thrust of the argument advanced is that the influence of regional nationalist parties on the reform of state structures can be understood as the result of processes that take place during the agenda-setting and the decision-making phases. To provoke institutional change, regional nationalist parties must firstly set the political agenda by exerting pressures on mainstream parties in the electoral, parliamentary and governmental arenas. Secondly, institutional change is likely to occur, if nationality claims are accommodated by mainstream parties that are ideologically open to political decentralisation and the recognition of regional nationalism and if the question of territorial autonomy has a broader resonance for political competition between mainstream parties. Finally, institutional change is likely to occur, if the government undertaking reforms is cohesive and there is no ideological opposition by any partisan veto players to those reforms. These arguments are examined through a comparative-historical analysis of political decentralisation in Great Britain, Spain and Belgium, over a time period spanning the late 1960s to the late 1990s. Each case study is disaggregated into time periods that represent moments in the process of territorial restructuring, bounded by significant changes in the assertiveness of regional nationalist parties and the occurrence of territorial reform. Within each period, the process tying the claims of regional nationalist parties to institutional change is examined. Theses different observations are used as evidence for undertaking a comparison of the accommodation of nationalism across space and time. The thesis finds that regional nationalist parties exert a strong influence on the creation of decentralised state structures when they can set the political agenda. It is also necessary for nationality claims to be accommodated by mainstream parties that are open to the accommodation of nationalism and for them to feature as a salient issue of party competition, and for constitutional reforms to be undertaken by a cohesive centre-left government. The ideological opposition of a partisan veto player in government to institutional change is sufficient for bringing about the failure of reform. The second finding is that the configuration of factors producing reforms tends to diversify with the development of restructuring. During the empowerment of regional governments, regional nationalist parties can set the political agenda and their claims may feature as an issue of party competition, but the reforms must be undertaken by centre-left governments. The subsequent deepening of territorial autonomy is stimulated by regional nationalist demands but undertaken by governments of different ideological persuasions whose mainstream parties may compete on the territorial dimension."
"http://cadmus.eui.eu/handle/1814/13285","Accounting for nationalist violence in affluent countries","2009","DE LA CALLE ROBLES,  Luis","Terrorism -- Europe; Terrorism -- Europe -- Prevention; Radicalism -- Europe; Political violence -- Europe","This thesis seeks to explain the determinants of resilient nationalist violence in Western Europe since World War II. Despite being one of the most affluent regions in the world, several episodes of nationalist violence arose from the late 1960s all over the continent. Faced with very strong states, these armed movements recurred to terrorist techniques of warfare to mobilize supporters and extract concessions from the goverment. However, some of the nationalist armed organizations succedded in building support and becoming resilient whereas many others failed and disappeared very quickly. In order to explain this variation, I contend that classical 'grievances' arguments must be complemented with 'mobilization' accounts of nationalist violence. Thus, the success of a terrorist nationalist organization in surviving does not only depend on the sources of grievance it can trigger in its fight against the state, but also on its capacity to create a large constituency of support that guarantees the steady flow of recruits, funds and legitimacy. In addition to grievances and 'mobilizational' incentives, this thesis also looks at the specific link between the political elites at the centre of the state and those holding offices at the regional level. If the dominant state-wide political forces also command the largest plurality of votes at the regional level, then state actors will have strong incentives to deal quickly with any nationalist challenge from the region under dispute. Regional politicians whose electoral fortunes depend on state-wide parties prefer reacting with some level of concessions if they expect the increase of nationalist mobilization in the absence of a positive state reaction. On the other hand, if regional politicians have autonomous sources of power - i.e., they do not run on state-wide party lists- state political actors will have more trouble in dealing with nationalist violence, since they must rely on the regional actors to assess the real demand for concessions. Whenever regional politicians are averse to change -because they anticipate that potential concessions will be paid by them-, they will advise state makers to repress nationalists. And if armed nationalists have potential to build their own constituency, state repression will contribute to that end. This combination of institutional 'unresponsiveness' and 'mobilizational' incentives can account for the existence of resilient armed nationalist organizations in Western Europe. I test this argument in two steps. First, I analyze a dataset with 30 observations of nationalist-prone European regions. The aim is to check whether the main argument fares empirically well in comparison to more standard explanations of nationalist violence. Second, I run three paired-wise comparisons to track in-depth the process of consolidation of nationalist violence. I compare the Basque Country, Corsica and Northern Ireland with Catalonia, Sardinia and Wales respectively. The main argument of the thesis works reasonably well to account for the observed variation, and it has also some implications for the potential emergence of armed nationalist movements in developing countries."
"http://cadmus.eui.eu/handle/1814/5224","Activating the multi-tiered welfare state: social governance, welfare politics and unemployment policies in France and the United Kingdom","2005","CLEGG, Daniel","Welfare state -- France; Welfare state -- Great Britain",NA
"http://cadmus.eui.eu/handle/1814/14504","Adapting the welfare state : privatisation in health care in Denmark, England and Sweden","2010","OLESEN, Jeppe D&oslash;rup","National health services -- Sweden; National health services -- Denmark; National health services -- Great Britain; Medical policy -- European Union countries","This dissertation deals with the following question: In the past decades some of the countries most dedicated to the universal public welfare state have privatised many of their welfare service provisions. Why is this so? The dissertation takes a close look at privatisation policies in health care in Denmark, Sweden and England in order to figure out how and why the private health care sector has expanded rapidly in recent years. Health care services in Denmark, Sweden and England provide good examples of welfare state service privatisation because these three countries have spent decades building up universal public health care systems that offer free and equal access to all citizens - and these programmes are very popular. In this dissertation I find that the most common explanations for welfare state reform fail to explain these changes: Privatisation policies are not the result of partisan politics, instead they are supported by Social Democratic / Labour parties and in some cases the unions as well. Privatisation is not the result of pressures for fiscal retrenchment; in fact, public health care funding has increased in all three countries over the past decade. Neither is privatisation the straight forward result of new right wing ideas. Certainly, new ideas play a role in this change, but it is difficult to sustain the argument that ideas alone have been the cause of privatisation in these three health care systems. Finally, it has been debated whether privatisation is the result of pressure from EU legislation. This explanation does not hold either for the basic reason of timing. The policies leading to privatisation in Denmark, England and Sweden were all implemented before the European debate over health care services started. Instead, I suggest that privatisation in health care in Denmark, Sweden and England can best be understood as the product of policy makers puzzling over important policy problems (Heclo, 1972). I call this an adaptive process. In this analysis I show that privatisation is the result of several interconnected attempts to adapt health care systems to a changing context. By taking a long historical view of the changes in health care systems, it becomes evident that the changes towards privatisation do not occur overnight or as a result of a &lsquo;punctuated equilibrium&rsquo;. Rather, the increasing privatisation in health care is the accumulated effect of several small step policy changes, which, over time, result in rising levels of privatisation. Some scholars have suggested that neo-liberal policies, such as privatisation of service provision, will ultimately lead to the end of the welfare state. In this study, I come to a different conclusion. Rather than undermine the welfare state, privatisation in health care may help the welfare state survive. Privatisation can be seen as a way of adapting welfare state services to a changing political context."
"http://cadmus.eui.eu/handle/1814/21356","After the Eastward Enlargement: The institutionalization of the Europarties and the EU party system","2012","BRESSANELLI, Edoardo",NA,"In the long debate about the EU constitutional and institutional reform which accompanied the Central and Eastern enlargement of the Union, political parties at the European level &ndash; in brief: Europarties &ndash; have rarely featured. This research, acknowledging the growing role played by political parties in the EU polity and their importance for its legitimization, addresses the following question: what impact has the mega-enlargement of the Union had upon the process of institutionalization of the Europarties and the EU party system? Theoretically, this work draws from the literature on party and party system institutionalization in the developing polities, and makes these concepts 'travel' to the European Union. More specifically, it identifies two main dimensions in the concept of party institutionalization: a 'structural' dimension, referring to party organizational consolidation, and a 'value' dimension, capturing the party value-system and ideology. By treating enlargement as an 'external shock', and relying on the literatures on partisan formation and development, three main propositions are then advanced. In sum, enlargement is expected to have a positive effect on the party structural dimension, but a more negative impact on the value dimension of institutionalization and on the competitiveness of the EU party system. Empirically, the validity of the above propositions is assessed by combining qualitative and quantitative research strategies. On the one hand, the impact of enlargement upon the Europarty organizations is evaluated through an analysis of their 'official stories' and by interviewing Europarty elites and administrators. On the other, its impact on the value dimension is tested by using descriptive and inferential techniques on different data: attitudinal and textual data (Euromanifestos and EU Profiler data) are combined with behavioural data (roll-call votes)."
"http://cadmus.eui.eu/handle/1814/14500","Ageing and Political Institutions: Comparative political economy of long-term care for frail older people","2010","HIEDA, Takeshi","Older people -- Government policy; Older people -- Care; Aged -- Government policy","Despite common socio-demographic pressures such as longer longevity, lower fertility rate, and feminization of labor market, public elderly care policy is remarkably diverse across advanced industrialized countries. This dissertation is an attempt to explain the cross-national variation of elderly care programs from the perspective of historical institutionalism. Specifically, it maintains that the statesociety relations structured by electoral rules and party system affect the development of elderly care programs. Since universalistic social policy, including public elderly care programs, faces collective action problems, it is less likely to thrive unless the state relatively autonomous from societal interests is able to coordinate its benefits and costs in an equitable way. And, then, to what extent the state retains its relative autonomy is contingent on the predominant mode of intra- and inter-party competition in each country. On the intra-party dimension, whereas personal-vote-oriented electoral rules create a decentralized party and clientalistic political competition through particularistic benefits, party-vote-oriented electoral rules generate a centralized party and party-based political competition. On the inter-party dimension, while a ruling coalition fragmented along various social cleavages promotes particularistic party competition, one-party dominance is capable of internalizing the benefits and expenses of social protection programs within its broader constituencies unless the dominant party itself is decentralized. Hence, this thesis claims that oneparty dominance under the party-vote-oriented electoral system allows the state to be autonomous from societal interests and expand public elderly care programs. To verify the above theoretical argument, this thesis conducts quantitative as well as qualitative analysis. Its quantitative analysis, using pooled cross-section and timeseries data of 15 OECD countries from 1980 until 2001, shows that electoral rules structure the process translating demographic changes into public spending for elderly care programs. Qualitative case studies, which cover Sweden, Japan, and the U.S., demonstrate that the state plays a critical role in developing and reforming public elderly care programs in these countries. Overall, this thesis concludes that although the effects of party system are inconclusive, the degree of state autonomy structured by electoral rules is an important determinant of public elderly care policy."
"http://cadmus.eui.eu/handle/1814/5310","Alla ricerca del consenso : il  mercato elettorale  visto dai parlamentari italiani","2002","LEGNANTE, Guido","Italy. Parlamento -- Elections; Elections -- Italy","Questa tesi, che si colloca all'interno del filone di studi sul voto, costituisce il primo lavoro sistematico che cerca di rispondere all'interrogativo ""che idea hanno i politici degli elettori e del mercato elettorale?"". Mentre si sa molto su che cosa i cittadini pensano dei politici, dei partiti e del voto, pi&ugrave; raramente ci si &egrave; interrogati su che cosa i politici pensano degli elettori, una tematica interessante per almeno due ragioni. La prima &egrave; che i politici sono certamente attenti (e preoccupati?) a quanto avviene nel mercato elettorale: l'autonomia delle forze sociali, la ""nuova politica"", il calo della partecipazione, l'incremento della mobilit&agrave; elettorale, il successo dei ""partiti anti-partito"", la rilevanza dei mass media e della personalizzazione della politica, e cos&igrave; via. La seconda &egrave; che, soprattutto nei periodi di cambiamento politico-elettorale come nell'Italia dell'ultimo decennio, le percezioni degli attori hanno un ruolo rilevante nell'orientarne le scelte. Dopo avere discusso gli studi pi&ugrave; recenti sull'evoluzione delle democrazie contemporanee e dei principali attori del mercato elettorale (partiti ed elettori), questa ricerca analizza le risposte a un approfondito questionario inviato ai parlamentari italiani, che ha per oggetto i loro atteggiamenti rispetto a diverse tematiche: come sta cambiando la democrazia italiana con l'integrazione Europea? Perch&eacute; gli elettori sembrano incontentabili? Come resistere all'antipolitica? E' finita l'""et&agrave; dell'oro"" nei rapporti con i gruppi di interesse? Le riforme elettorali hanno sortito gli effetti auspicati? Quale &egrave; il ruolo del parlamentare di collegio? Che cosa significa rappresentare (e chi)? Quale &egrave; il ruolo dei mass media? Quali sono i legami con partiti e leader nazionali? Dalle risposte dei parlamentari il caso italiano emerge come un peculiare mix di superficialit&agrave;, leaderizzazione, mediatizzazione, irresponsabilit&agrave;. Il volume, che si chiude con alcuni sistematici suggerimenti in vista di future ricerche, offre un valido strumento di comprensione delle dinamiche del voto per tutti coloro (giornalisti, politici, consulenti, studiosi) che sono interessati ad approfondire come funziona il ""mercato elettorale""."
"http://cadmus.eui.eu/handle/1814/18406","Alterglobalism in Postsocialism: A study of Central and Eastern European activists","2011","PIOTROWSKI, Grzegorz",NA,"Alterglobalism in Postsocialism. A Study of Central and Eastern European Activists' is a doctoral thesis that presents the development and the characteristic of the Global Justice Movement in Poland, the Czech Republic and in Hungary. Using tools and approaches derived mostly from anthropology this thesis is supposed to give an insight into the movement in Central and Eastern Europe, but it also relies on the tradition of sociology (in particular social movement studies) with some references to postsocialist and historical studies. Although far from being complete, it is one of the first comparative ethnographies of the movement and of the activists in the region. One of the main ways to explain the specificity of the movement in this part of the world is the existence of the postsocialist condition &ndash; a set of factors that have shaped the ways of organization of contentious politics. This thesis also attempts to analyze the movement from various perspectives by looking at its relations with the civil society, subcultures and countercultural milieus and with other actors of the global movement. At the core of the analysis are the repertoire of actions used in the region and the frames used to link local protests with more global struggles. In particular I was interested how do the social activists manage to deal with the notion of postsocialism and how do they adapt the frames derived from activism in other parts of the world to their own cases. I have tried to analyze these processes by looking at the practices of the activists in order to get a more realistic image of the movement, not biased by the self-imaginations of the activists."
"http://cadmus.eui.eu/handle/1814/6578","Alternative pathways to competitiveness within developed capitalism : a comparative study of the pharmaceutical sector in Germany, Italy and the UK","2006","HERRMANN, Andrea","Pharmaceutical industry -- Germany; Pharmaceutical industry -- Italy; Pharmaceutical industry -- Great Britain",NA
"http://cadmus.eui.eu/handle/1814/5351","An alternative politics? : the German Green Party in a comparative context","1989","POGUNTKE, Thomas","Gr&uuml;nen (Political party) -- History; Green movement -- Germany; Germany -- Politics and government -- 1990-",NA
"http://cadmus.eui.eu/handle/1814/5417","Anglo-American relations 1945-1956 : a comparison of neorealist and cognitive psychological approaches to the study of international relations","1992","VERBEEK, Bertjan","Great Britain -- Foreign relations -- United States -- 1945-; United States -- Foreign relations -- Great Britain; International relations -- Psychological aspects",NA
